"","screenname","tweets"
"2806","NichRiverhood","RT @FinsUp1372: @realDonaldTrump is the @kanyewest of the Republican party.  #GOPTownHall #Election2016"
"2807","jgclawson","A third of the ""born-again Christian"" GOP voters in #SouthCarolina voted for @realDonaldTrump tonight. Unbelievable. #election2016"
"2808","PatrickRuffini","RT @eramshaw: UT/TT Poll: @TedCruz leads @realDonaldTrump, @marcorubio in Texas. https://t.co/WsZt8wH9KK #Election2016 https://t.co/vrkJ2US…"
"2809","mcphersonfamily","RT @FrenchForTrump: TIME TO STAND BEHIND @realDonaldTrump 
VOTE FOR #TRUMP2016
WIN #ELECTION2016 WITH #TRUMP 
#NevadaCaucus #VoteTrumpNV ht…"
"2810","Liberty_Ally","It's heart breaking that so many ""evangelicals"" are so excited to support @realDonaldTrump  #earcandy #accuser  
#Election2016 #Nevadacaucus"
"2811","couger69","'We as a Nation Are Hemorrhaging' https://t.co/hBuXshAtKq @RealBenCarson for VP @realDonaldTrump #MakeAmericaGreatAgain #Election2016"
"2812","thinkfree4life","RT @France4Hillary: Who do you think will stop racist, lying, sexist, vulgar, juvenile, dangerous @realDonaldTrump? #Election2016"
"2813","richboystatus","RT @JOHNFENOGLIO: Women Who Support @realDonaldTrump &amp; Why (despite outbursts and insults). VIDEO: https://t.co/b64pApHv3W  #Election2016 #…"
"2814","jks_jean_pablo","RT @foxnation: . @POTUS Lectures, Blames Press for the Rise of @realDonaldTrump https://t.co/Lva6hli3pw #Election2016"
"2815","normagenie","RT @WalkingSeaWater: @1bigbeer #Killary Say NO to #Hillary = #HitlerOnEstrogen! #Election2016 @Mike_Beacham @tomesimpson @realDonaldTrump h…"
"2816","ErinBelitskus","Corey Lewandowski, Campaign Manager for @realDonaldTrump, Is Charged With Battery https://t.co/f6LqBLwrqm #election2016"
"2817","MattMcEachran","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2818","JWOLFFH","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2819","fay920","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2820","califortrump","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2821","ChasingTheNews","RT @ChasingRonica: .@realDonaldTrump is running for President. @ChasingTheNews #NYC #Election2016 http://t.co/ixGaVKPDjx"
"2822","1Pr0udAm3rican","Only @realDonaldTrump could skip a debate to *gain* ground. What is going on? #BizarroWorld #GOPDebate #Election2016"
"2823","dawngpsalm63","RT @eads_john: Here you go for weak, disgusting and corrupt.  Vote @realDonaldTrump #GOPDebate #Iowa #NewHampshire #election2016  https://t…"
"2824","jCar89000","RT @jl_carroll: https://t.co/QBlrPupxxc @realDonaldTrump #Trump2016 #Election2016 Trump is not the man you see on the campaign trail"
"2825","PaulERondeau","Just me or @realDonaldTrump seems to have disappeared from @FoxNews ?  Hmmmm...still fair &amp; balanced?  #tcot #Election2016"
"2826","PatrickFong","Expect the intensity &amp; frequency of @realDonaldTrump birther attacks on @tedcruz to increase. #IowaCaucus #GOP #Election2016"
"2827","TexasYankee001","RT @jonsoltz: @realDonaldTrump has forgotten armor piercing IEDs sent OUR troops on a ""little ride"" to their graves! #Election2016 #IowaCau…"
"2828","MoxiMayhem","RT @RickCanton: There really is a @realDonaldTrump tweet for every occasion.

#iacaucus #nhpolitics #Election2016 #tcot #PJNET https://t.co…"
"2829","latechrn12","Political statements at our neighborhood park. @realDonaldTrump @HilaryClinton #Election2016 #ijustcametowalk https://t.co/pInPuI5kfT"
"2830","Big6domino","The only thing transparent about @realDonaldTrump is his toupee. #Election2016 @CNN"
"2831","wrs1260","RT @USAelection: @realDonaldTrump Are you 100% for #Trump2016 or less?
#Poll #Polls #Election2016  #TrumpTrain #VOTETRUMP2016
#Trump
https:…"
"2832","matt_beals","@BernieSanders @realDonaldTrump You agree? Let's take care of vets instead of carpet bombing. #Election2016 https://t.co/YHprtmVTD2"
"2833","deaneffect","@HillaryClinton presidential campaign gets THE KRIS OF DEATH:
https://t.co/v1WWWQgOkY
@KrisJenner @realDonaldTrump #Election2016"
"2834","signoftria","RT @NetworksManager: .My man @realDonaldTrump is killing it LIVE! #NHPrimary #DC #election2016
We are going to #MakeAmericaGREatAgain! http…"
"2835","Susiehs","RT @PatriotCorner: General Election Poll. Who wins? @realDonaldTrump @BernieSanders #Election2016 #NHPrimary"
"2836","ScottBKirk","Will President @RealDonaldTrump appoint @JudgeJudy to the Supreme Court? I have to admit, it would be kinda fun. #Election2016"
"2837","Lou_WilsonRU","RT @PatriotCorner: General Election Poll. Who wins? @realDonaldTrump @BernieSanders #Election2016 #NHPrimary"
"2838","sdavis60","Thank you, thank you @NorahODonnell for actually talking ISSUES with @realDonaldTrump vs hyperbole. #Election2016  https://t.co/5aU0hboL4V"
"2839","justintomczak","If @JohnKasich @JebBush @RealBenCarson @CarlyFiorina @ChrisChristie say @realDonaldTrump doesn't = #GOP it's time 2 drop #tcot #Election2016"
"2840","jeffpickering","This @tedcruz ad knocking @realDonaldTrump for being a ""pretend Republican"" is both brilliant &amp; wacko. #Election2016 https://t.co/34ZIC2AEEc"
"2841","SCLoverUSA","RT @postandcourier: .@realDonaldTrump on @jebbush: ""The last thing we need is another Bush. That I can tell you."" #Election2016 #SCPrimary …"
"2842","tgradous","RT @PatriotCorner: Who takes the SC Primary.  Early polling. #Election2016 #SCPrimary @realDonaldTrump @tedcruz @marcorubio @JebBush"
"2843","OrlRising","@BillDayToons Latest: @realDonaldTrump storms into Tampa Bay #FlaPol #election2016 https://t.co/MaJZ96sQ4Q https://t.co/E7exKjrKTR"
"2844","tpicard2","RT @USAelection: @realDonaldTrump I vote for #Trump
because I was betrayed by Republicans or screwed by Democrats
#Election2016 #POLL
https…"
"2845","peter_schijven","If @realDonaldTrump wins the #Election2016, his presidency will become one big #correspondentsdinner."
"2846","Upcyclecreation","Tiered of @realDonaldTrump empty talk and we still do t know what he's about #Election2016 #DonaldTrump"
"2847","Peoples_Pundit","Jeb! said @realDonaldTrump would worse than #Obama Poll: Do You Agree? https://t.co/tOMP5zHrAH #Election2016 #SCPrimary"
"2848","Mommahunt47","@realDonaldTrump what is your stance on homeschooling? #Election2016"
"2849","babysgramma","RT @TrumpSaidPussy: I vote for @realDonaldTrump 
because I was betrayed by Republicans or screwed by Democrats
#Election2016"
"2850","PrettyMouth",".@GloriaSteinem supporting @HillaryClinton turned me off just as much as @SarahPalinUSA supporting @realDonaldTrump #Undecided #Election2016"
"2851","nscrgrl20","RT @foxnation: Poll: @realDonaldTrump Leads Big With Latinos https://t.co/FpElaeE6or #Election2016 #DonaldTrump"
"2852","newshidden","RT @foxnation: Poll: @realDonaldTrump Leads Big With Latinos https://t.co/FpElaeE6or #Election2016 #DonaldTrump"
"2853","MARS0411","RT @foxnation: Poll: @realDonaldTrump Leads Big With Latinos https://t.co/FpElaeE6or #Election2016 #DonaldTrump"
"2854","MatthewKadish","Think it was a good debate for @marcorubio &amp; @tedcruz, not so good for anyone else, especially @realDonaldTrump. #GOPDebate #Election2016"
"2855","Whitehouseintel","RT @DogoodII: #Election2016 @JohnStossel
@realDonaldTrump
@tedcruz
@MarcoRubio_2016
@JebBush
@JohnKasich
@BenCarson2016
ObamaNUKES https://…"
"2856","EuniceStevens15","RT @Robs010101: CAN @realDonaldTrump WIN A GENERAL ELECTION? 

#GOPDebate #SouthCarolinaPrimary #SCPrimary #tcot #Election2016 #USA"
"2857","AndrewTodd_01","@realDonaldTrump and so is your liberal, progressive past. #GOP #Election2016"
"2858","rowlandville","Dubya stops speaking, Jeb! starts speaking ... and the press corps leaves. #PoorJeb! #Election2016 @realDonaldTrump"
"2859","4242Becky","RT @RickCanton: ""I basically despise you people. I don't even wanna be here."" - @realDonaldTrump

#SCPrimary #FITS #Election2016 https://t.…"
"2860","StephanyDelano","RT @DragcentricDeb: #TheRealDonaldJTrump vs #TheRealTSMadison <f0><U+009F><U+008C><U+009F><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>
.@realDonaldTrump @TsMadisonATL1
#Election2016 #SCPrimary https://t.co/wv…"
"2861","AndrewTodd_01","@IngrahamAngle The problem is that @realDonaldTrump has no practical solutions. He is wholly devoid of substance. #Election2016"
"2862","TheSunNews","Poll shows @MarcoRubio tying @tedcruz Cruz for a distant second behind @realDonaldTrump https://t.co/WeyNJMf8dd #election2016 #gop"
"2863","rickbilyak","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/X6pkmbxpBZ"
"2864","NewsNetNews","<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>#Election2016 @realDonaldTrump Response Re Natl. Inquirer Story https://t.co/klqyhs5pPr <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> https://t.co/HR4trJVgS6"
"2865","eOpinionTvNews","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/ajNUou3R51"
"2866","CaptainXS","&gt; @CaptainXS/XS #Election2016 #Trump#Train

@realDonaldTrump reveals his new foreign policy motto: 
'America First'

https://t.co/c97cJwIJEo"
"2867","Laura_A_Diaz","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2868","MarloffDesign","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2869","CHETRA744","RT @DodobegoneNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/uh3PJ3qBFw"
"2870","eopiniontv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/3WZZl9ZUmo"
"2871","ZenaMorse","RT @eOpinionTvNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016   https://t.co/CbjbTAN3jR"
"2872","wigitgetit","RT @NetworksManager: .@realDonaldTrump 
#Border #Language #Culture
Only one #American in #election2016 working for #Americans #TrumpTrain h…"
"2873","heather_lark","@realDonaldTrump do you believe that @tedcruz is the true zodiac killer?? #realquestions #Election2016"
"2874","dtrainsbunk","RT @RealAlexJones: The Republicans are Already Stealing the Nomination from @realDonaldTrump - https://t.co/9G41t8uWfr #Election2016"
"2875","bspinter","RT @NetworksManager: .@realDonaldTrump @CNN Just hit job on #MiddleAmerica's #election2016 candidate I say skip #GOPTownHall. #TrumpTrain h…"
"2876","PrestonHelton","I wonder who will swing the first punch: @tedcruz or @realDonaldTrump?
#cnntownhall #Election2016"
"2877","SnarktopusRex","@realDonaldTrump she wants to see if she has bigger hands than you? #Election2016 #TinyHands"
"2878","NewsNetNews","<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #Election2016 @AC360 TH @realDonaldTrump Last Time He Apologized? To Mom For Cursing - Doesn't Apologize Unless He's Wrong <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"2879","myofb__","RT @RonicaCleary: ""She had a pen in her hands, which could have been a knife."" @realDonaldTrump #politics #election2016 #GOPTownHall @fox5dc"
"2880","PrestonHelton","I wonder who will swing the first punch: @tedcruz or @realDonaldTrump?
#cnntownhall #Election2016"
"2881","Greenzep1","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"2882","TheUSALifeStyle","@USA_Movement Save the American industry &amp; VOTE FOR Donald Trump @realDonaldTrump #Trump2016 #Election2016 http://t.co/mGbSR4i2FW"
"2883","pdesmondadams","Does @realDonaldTrump have a chance for #Election2016 victory? Either way, he wins, of course. http://t.co/helSx2VtUP"
"2884","mriam_f","RT @WhoopiGoldberg: @realDonaldTrump assume by yr tweet, u wont b gracing us here @The View but 'member its a long way to #Election2016"
"2885","TheUSALifeStyle","@GOPHispanic @realDonaldTrump  #DonaldTrump #GOPMustSupportTRUMP #Election2016  #GOP @GOP #TRUMP2016 #Politics http://t.co/5M8TvMKnvu"
"2886","Walt_Handelsman","Send in The Donald! @GOP @realDonaldTrump #Election2016 #Louisiana #neworleans #politics #DonaldTrumpCampaignSlogans http://t.co/y4ka4Uxb65"
"2887","AlexWaldron_18","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"2888","realDonaldTrump","""@JenCromartie: @realDonaldTrump needs to run for president #Election2016 #DonaldTrump"""
"2889","iamanthonyjones","I'd rather vote for @realDonaldTrump than anyone else that's running for president right now. #Election2016"
"2890","RondelleBurky","RT @realDonaldTrump: ""@TheUSALifeStyle: @GOP #DonaldTrump #Election2016 (it will happen) GOP MUST SUPPORT Donald Trump #GOP #Politics http://t.co/CdqPiUedqs"""
"2891","GopNoWay","RT @3paulas: #Hispanic leaders urge NBC to cut ties to @realDonaldTrump http://t.co/m5ArucyLGO #USlatino #Election2016 #GOPracists #Politics #VOTOLatino"
"2892","BobWegman1","RT @realDonaldTrump: ""@ChipB: Like him or not @realDonaldTrump says EXACTLY what he thinks and doesn't beat around the bush. And that's admirable. #Election2016"""
"2893","MrHuesken","#GovEcon @realDonaldTrump goes to war w/ @nbc http://t.co/tpnQvhvdZh #USpolitics #Election2016"
"2894","RJ_SFLA","They should make the 1st GOP debate 1v1 @ChrisChristie v @realDonaldTrump. Could eliminate national debt by selling tickets. #Election2016"
"2895","TheDailyEdge","POLL: @realDonaldTrump now trails @OMAROSA by 37 points in hypothetical matchup #Election2016"
"2896","ScottHelmreich","@realDonaldTrump #USA #Trump #Trump2016 #tcot #GOP #Election2016 #VoteTrump #DonaldTrumpforPresident  https://t.co/M3uMo7kMJI"
"2897","RoniSeale","RT @pctech181: Best article about @realDonaldTrump thus far; and just like Reagan he can win. #Election2016 #MakeAmericaGreatAgain  https://t.co/m7lEtRIV9D"
"2898","Bootsctr74","RT @foxnewsvideo: .@realDonaldTrump : @ESPN, @NASCAR bailed because they want to be PC @greta #GOP #Election2016 | http://t.co/40NMzNXGfW"
"2899","foxnewsvideo",".@realDonaldTrump : @ESPN, @NASCAR bailed because they want to be PC @greta #GOP #Election2016 | http://t.co/40NMzNXGfW"
"2900","hopeleigh_","RT @CriticalReading: 400 years too late @realDonaldTrump #Election2016 http://t.co/J8WBx5KBuK"
"2901","EmilyIveyKaesir","RT @ChakerKhazaal: Funny that my article on @realDonaldTrump has moved to @HuffingtonPost's Entertainment section <f0><U+009F><U+0091><U+008D> http://t.co/aGQomGQNbN #Election2016 #Trump"
"2902","LC3iCkMedia","RT @ChakerKhazaal: Funny that my article on @realDonaldTrump has moved to @HuffingtonPost's Entertainment section <f0><U+009F><U+0091><U+008D> http://t.co/aGQomGQNbN #Election2016 #Trump"
"2903","Rsowelljhn","RT @ChakerKhazaal: Funny that my article on @realDonaldTrump has moved to @HuffingtonPost's Entertainment section <f0><U+009F><U+0091><U+008D> http://t.co/aGQomGQNbN #Election2016 #Trump"
"2904","DMcKissen","However you feel about the issues, you can't seriously think that @realDonaldTrump cares about anything other than Donald. #Election2016"
"2905","Cheezburger","These cats are ready for #Election2016 with their fabulous new @realDonaldTrump hairdos. http://t.co/C6baerEyHN http://t.co/z5AYVhfTmz"
"2906","ForPotus","Donald Trump Weighs in on Iran Deal http://t.co/9jXSw7TGF2 @RealDonaldTrump  #Election2016"
"2907","CourtneyChristn","Ladies and gents @realDonaldTrump said it http://t.co/IAtdT5LS2A. End of the line? We can only hope #Election2016"
"2908","Cynthiastruth","Good morning @realDonaldTrump ! #WakeUpAmerica #MakeAmericaGreatAgain #USA #voteforUS #Election2016 #AllLivesMatter  https://t.co/027XQdBpyD"
"2909","ForPotus","Election 2016: Financial disclosure shows sources of Donald Trump's wealth - CBS... http://t.co/kaYd69q30J @RealDonaldTrump  #Election2016"
"2910","Walt_Handelsman","""THE BOBBY"" --- A Political mashup #Louisiana  #NewOrleans @BobbyJindal @realDonaldTrump @GOP #Election2016 http://t.co/RuHcNkeC0Z"
"2911","ThxMrPOTUS","RT @RichardOHornos: <U+25B6><U+FE0F>.@realDonaldTrump in 60 seconds https://t.co/4KQhpnsyFN by @MasPOLITICA1 #DonaldTrump #DumpTrump #GOPClownCar #Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>#USlatino"
"2912","Mach1Broker","@BradThor May I point out #Churchill &amp; #Patton. Open your mind to the bigger picture. #tcot #ccot #election2016 cc @realDonaldTrump"
